"Historical Data"
"From 2023-11-29 to 2024-12-28"
US912810TV08
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
28/06/2024;102,71;105,50;102,71;105,50;104,27;264000;6;277918;105.27197
27/06/2024;'0,00;'0,00;'0,00;'0,00;105,29;'0;'0;'0;
26/06/2024;105,36;105,36;105,36;105,36;105,01;20000;1;21072;105.36
25/06/2024;103,27;106,42;103,27;106,21;106,39;532000;11;565234;106.246974
24/06/2024;105,67;106,02;105,67;105,88;105,87;153000;5;161908;105.821895
21/06/2024;'0,00;'0,00;'0,00;'0,00;105,68;'0;'0;'0;
20/06/2024;106,16;106,25;106,16;106,25;105,73;9000;3;9558;106.203333
19/06/2024;106,46;106,46;106,46;106,46;106,57;40000;1;42584;106.46
18/06/2024;'0,00;'0,00;'0,00;'0,00;106,09;'0;'0;'0;
17/06/2024;'0,00;'0,00;'0,00;'0,00;105,43;'0;'0;'0;
14/06/2024;105,67;107,04;105,67;106,62;106,63;411000;10;437623;106.477713
13/06/2024;104,50;105,26;104,50;105,19;105,19;127000;4;133302;104.962205
12/06/2024;103,65;105,30;103,65;105,30;105,14;140000;6;146987;104.990893
11/06/2024;103,05;103,05;102,84;102,84;102,71;18500;4;19038;102.908919
10/06/2024;102,99;102,99;102,74;102,74;102,74;50900;3;52349;102.847564
'07/06/2024;104,79;105,22;103,43;103,43;103,43;50000;6;52389;104.7774
'06/06/2024;105,04;105,06;104,90;104,90;104,90;225000;4;236242;104.996533
'05/06/2024;104,22;104,88;104,22;104,88;105,11;7000;3;7310;104.421429
'04/06/2024;103,97;104,12;103,97;104,01;104,17;26000;3;27045;104.02
'03/06/2024;104,46;104,46;102,14;102,14;103,15;7000;3;7174;102.49
31/05/2024;101,27;101,98;100,93;101,98;101,98;39000;5;39658;101.686667
30/05/2024;100,72;100,78;100,45;100,78;101,09;22300;4;22449;100.667534
29/05/2024;101,34;101,34;100,34;100,34;100,55;179200;17;180855;100.923326
28/05/2024;103,19;103,19;102,10;102,10;102,10;58500;8;60163;102.84188
27/05/2024;102,99;102,99;102,99;102,99;102,99;23500;3;24203;102.99
24/05/2024;102,80;102,80;102,40;102,40;102,84;150800;3;154903;102.720955
23/05/2024;103,18;103,18;102,52;102,52;102,52;102000;3;105230;103.166373
22/05/2024;103,00;103,22;102,96;103,22;103,19;67000;6;69032;103.032687
21/05/2024;102,86;103,28;102,86;103,28;103,28;72000;5;74150;102.985833
20/05/2024;103,01;103,17;102,70;102,70;102,70;126000;6;129575;102.837381
17/05/2024;'0,00;'0,00;'0,00;'0,00;103,35;'0;'0;'0;
16/05/2024;104,39;104,39;104,25;104,25;104,08;59000;3;61564;104.346271
15/05/2024;102,87;103,72;102,80;103,66;103,66;136000;8;140290;103.154706
14/05/2024;102,16;102,36;102,16;102,18;102,25;65000;3;66416;102.177846
13/05/2024;101,75;101,75;101,75;101,75;102,00;9000;1;9158;101.75
10/05/2024;101,78;101,80;101,75;101,75;101,80;133900;4;136305;101.796072
'09/05/2024;101,52;101,69;101,39;101,69;101,67;171000;7;173433;101.422982
'08/05/2024;102,40;102,40;101,99;101,99;101,95;12000;3;12248;102.063333
'07/05/2024;102,34;102,50;102,24;102,30;102,90;90000;8;92146;102.384444
'06/05/2024;102,88;102,95;101,44;101,44;101,44;26200;5;26943;102.83584
'03/05/2024;100,44;102,88;100,44;100,78;101,17;29700;4;29908;100.699933
'02/05/2024;100,18;100,35;99,62;99,69;99,78;64200;11;64182;99.972523
30/04/2024;100,26;100,26;99,62;99,62;99,73;64000;8;63965;99.945313
29/04/2024;100,19;100,48;100,09;100,15;100,17;57900;7;58014;100.196598
26/04/2024;99,50;99,86;99,37;99,61;99,70;161000;7;160165;99.481242
25/04/2024;99,71;99,71;99,22;99,22;99,22;19000;5;18889;99.417895
24/04/2024;100,32;100,32;99,35;99,61;99,53;135800;20;135591;99.846141
23/04/2024;100,72;100,86;100,00;100,86;100,86;292100;16;293295;100.409165
22/04/2024;100,80;100,80;100,14;100,49;100,49;213100;12;213686;100.274876
19/04/2024;101,12;101,12;100,75;100,75;100,75;19000;2;19154;100.808421
18/04/2024;101,08;101,08;100,40;100,40;100,40;412000;8;414342;100.568422
17/04/2024;100,00;100,45;99,90;100,05;100,05;555000;11;555791;100.14245
16/04/2024;100,30;100,30;99,30;99,88;99,54;660700;28;659315;99.79041
15/04/2024;101,70;101,70;100,30;100,30;100,45;265700;10;269172;101.306906
12/04/2024;101,65;102,30;101,65;102,30;102,25;569100;8;580410;101.987354
11/04/2024;101,69;101,99;101,22;101,22;101,49;274100;13;278768;101.703046
10/04/2024;103,10;103,10;102,79;102,79;102,80;120000;7;123431;102.858833
'09/04/2024;103,70;103,95;103,65;103,95;104,09;246100;6;255466;103.805668
'08/04/2024;102,99;102,99;102,72;102,74;103,01;35000;5;35978;102.794286
'05/04/2024;103,58;103,84;103,58;103,64;103,77;40000;3;41490;103.725
'04/04/2024;103,95;104,69;103,90;104,45;104,45;397000;8;413059;104.045088
'03/04/2024;103,80;103,88;103,13;103,41;103,41;122500;7;127032;103.699755
'02/04/2024;109,67;109,67;103,59;104,10;104,00;162500;13;169873;104.537077
28/03/2024;106,72;106,89;106,49;106,89;107,02;109000;3;116301;106.698257
27/03/2024;'0,00;'0,00;'0,00;'0,00;106,37;'0;'0;'0;
26/03/2024;105,70;106,02;105,46;105,57;105,57;568000;7;599782;105.595423
25/03/2024;106,25;106,25;106,25;106,25;105,57;5000;1;5313;106.25
